q1,q2,q3,q4,lead,d1,d2,d3,d4,distance,spot,play
1,0,0,0,0.5,1,0,0,0,0.25,0.787878788,RUSH
1,0,0,0,0.5,0,1,0,0,0.275,0.797979798,SHORT_PASS
1,0,0,0,0.5,0,0,1,0,0.05,0.707070707,SHORT_PASS
1,0,0,0,0.5,0,0,0,1,0.225,0.777777778,RUSH
1,0,0,0,0.475,1,0,0,0,0.25,0.858585859,SHORT_PASS
1,0,0,0,0.475,0,1,0,0,0.25,0.858585859,RUSH
1,0,0,0,0.475,0,0,1,0,0.35,0.898989899,SHORT_PASS
1,0,0,0,0.475,0,0,0,1,0.35,0.898989899,PUNT
1,0,0,0,0.408333333,1,0,0,0,0.25,0.929292929,MEDIUM_PASS
1,0,0,0,0.408333333,1,0,0,0,0.25,0.767676768,MEDIUM_PASS
1,0,0,0,0.408333333,1,0,0,0,0.25,0.616161616,SHORT_PASS
1,0,0,0,0.408333333,0,1,0,0,0.05,0.535353535,SHORT_PASS
1,0,0,0,0.408333333,0,0,1,0,0.05,0.535353535,SHORT_PASS
1,0,0,0,0.408333333,0,0,0,1,0.05,0.535353535,PUNT
1,0,0,0,0.408333333,1,0,0,0,0.25,0.929292929,SHORT_PASS
1,0,0,0,0.408333333,0,1,0,0,0.25,0.929292929,SHORT_PASS
1,0,0,0,0.408333333,0,0,1,0,0.25,0.929292929,SHORT_PASS
1,0,0,0,0.408333333,0,0,0,1,0.25,0.929292929,PUNT
1,0,0,0,0.35,1,0,0,0,0.25,0.757575758,SHORT_PASS
0,1,0,0,0.35,1,0,0,0,0.25,0.888888889,RUSH
0,1,0,0,0.35,0,1,0,0,0.225,0.878787879,LONG_PASS
0,1,0,0,0.35,1,0,0,0,0.25,0.656565657,SHORT_PASS
0,1,0,0,0.35,0,1,0,0,0.15,0.616161616,SHORT_PASS
0,1,0,0,0.35,0,0,1,0,0.275,0.666666667,RUSH
0,1,0,0,0.35,0,0,0,1,0.525,0.767676768,PUNT
0,1,0,0,0.35,1,0,0,0,0.25,0.98989899,MEDIUM_PASS
0,1,0,0,0.35,1,0,0,0,0.25,0.878787879,SHORT_PASS
0,1,0,0,0.35,0,1,0,0,0.25,0.878787879,SHORT_PASS
0,1,0,0,0.35,0,0,1,0,0.25,0.878787879,SHORT_PASS
0,1,0,0,0.35,0,0,0,1,0.075,0.808080808,PUNT
0,1,0,0,0.291666667,1,0,0,0,0.25,0.797979798,SHORT_PASS
0,1,0,0,0.291666667,0,1,0,0,0.25,0.797979798,RUSH
0,1,0,0,0.291666667,1,0,0,0,0.25,0.686868687,RUSH
0,1,0,0,0.291666667,0,1,0,0,0.425,0.757575758,SHORT_PASS
0,1,0,0,0.291666667,0,0,1,0,0.425,0.757575758,SHORT_PASS
0,1,0,0,0.233333333,1,0,0,0,0.25,0.787878788,MEDIUM_PASS
0,1,0,0,0.233333333,1,0,0,0,0.25,0.676767677,RUSH
0,1,0,0,0.233333333,0,1,0,0,0.125,0.626262626,SHORT_PASS
0,1,0,0,0.233333333,0,0,1,0,0.125,0.626262626,MEDIUM_PASS
0,1,0,0,0.233333333,1,0,0,0,0.25,0.484848485,RUSH
