Game Clock,2min Warning,Late Game,Lead,d1,d2,d3,d4,Distance,LateLong,Spot,isRedZone,Play Type
0.000277778,1,1,0.491666667,1,0,0,0,0.25,0,0.626262626,0,PASS
0.002373737,1,1,0.441666667,0,1,0,0,0.475,0,0.191919192,1,RUSH
0.002777778,1,1,0.683333333,0,0,0,1,0.475,1,0.515151515,0,PUNT
0.003055556,1,1,0.091666667,0,1,0,0,0.025,0,0.111111111,1,PASS
0.003703704,1,1,0.291666667,0,1,0,0,0.05,0,0.272727273,0,PASS
0.00468254,1,1,0.816666667,1,0,0,0,0.25,0,0.303030303,0,RUSH
0.005,1,1,0.85,1,0,0,0,0.25,0,1,0,RUSH
0.007037037,1,1,0.241666667,0,1,0,0,0.075,0,0.03030303,1,PASS
0.007407407,1,1,0.291666667,1,0,0,0,0.25,0,0.353535354,0,PASS
0.007853535,1,1,0.441666667,1,0,0,0,0.225,0,0.090909091,1,RUSH
0.009365079,1,1,0.816666667,0,1,0,0,0.225,0,0.474747475,0,PASS
0.009444444,1,1,0.266666667,1,0,0,0,0.25,0,0.565656566,0,PASS
0.01037037,1,1,0.6,0,0,1,0,0.375,1,0.848484848,0,RUSH
0.011018519,1,1,0.241666667,1,0,0,0,0.075,0,0.03030303,1,PASS
0.011111111,1,1,0.291666667,1,0,0,0,0.25,0,0.545454545,0,PASS
0.012222222,1,1,0.566666667,0,0,0,1,0.1,0,0.383838384,0,RUSH
0.0125,1,1,0.683333333,0,0,1,0,0.4,1,0.484848485,0,RUSH
0.012592593,1,1,0.566666667,0,0,1,0,0.175,1,0.414141414,0,RUSH
0.013333333,1,1,0.441666667,0,0,0,1,0.525,1,0.343434343,0,PASS
0.013611111,1,1,0.125,0,0,1,0,0.125,0,0.080808081,1,PASS
0.014047619,1,1,0.816666667,1,0,0,0,0.25,0,0.484848485,0,RUSH
0.015,1,1,0.241666667,1,0,0,0,0.25,0,0.282828283,0,PASS
0.015128205,1,1,0.091666667,1,0,0,0,0.25,0,0.202020202,1,PASS
